WKT,name,description
"LINESTRING (123.9132185 10.3521906, 123.9132515 10.3521833)",026_057,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NyIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9131282 10.3518996, 123.9131235 10.3518831)",044_045,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NSIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.9128684 10.3519454, 123.9128728 10.3519635)",048_049,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0OCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0OSIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.9132428 10.3521506, 123.9132515 10.3521833)",056_057,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NiIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9133226 10.3521658, 123.9133141 10.3521329)",054_055,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NCIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.912878 10.352386, 123.913035 10.352349)",012_016,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNiIsICJjb3N0X21ldGVycyI6IDE4LCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDE4fQ==
"LINESTRING (123.912852 10.352278, 123.9128418 10.3522307)",013_050,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MCIsICJjb3N0X21ldGVycyI6IDUsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNX0=
"LINESTRING (123.913035 10.352349, 123.9133807 10.3522673)",016_024,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNCIsICJjb3N0X21ldGVycyI6IDM5LCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDM5fQ==
"LINESTRING (123.913547 10.352348, 123.913524 10.352257)",006_002,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJjb3N0X21ldGVycyI6IDEwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEwfQ==
"LINESTRING (123.913502 10.352261, 123.913524 10.352257)",002_001,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.913524 10.352257, 123.913518 10.352235)",002_011,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.913518 10.352235, 123.913491 10.352126)",011_010,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMCIsICJjb3N0X21ldGVycyI6IDEyLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEyfQ==
"LINESTRING (123.913491 10.352126, 123.913473 10.352054)",010_018,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMCIsICJjb3N0X21ldGVycyI6IDgsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogOH0=
"LINESTRING (123.913473 10.352054, 123.913452 10.35197)",018_004,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJjb3N0X21ldGVycyI6IDEwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEwfQ==
"LINESTRING (123.913424 10.351979, 123.913452 10.35197)",005_004,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.913556 10.351944, 123.913452 10.35197)",004_003,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJjb3N0X21ldGVycyI6IDEyLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEyfQ==
"LINESTRING (123.913452 10.35197, 123.9134188 10.3518388)",004_043,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNCIsICJjb3N0X21ldGVycyI6IDE1LCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDE1fQ==
"LINESTRING (123.913449 10.352058, 123.913473 10.352054)",018_017,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxOCIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9133521 10.3518549, 123.9134188 10.3518388)",042_043,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MyIsICJjb3N0X21ldGVycyI6IDgsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogOH0=
"LINESTRING (123.913413 10.351813, 123.9134188 10.3518388)",009_043,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwOSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MyIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.91339 10.351723, 123.913413 10.351813)",009_008,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwOSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwOCIsICJjb3N0X21ldGVycyI6IDEwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEwfQ==
"LINESTRING (123.91339 10.351723, 123.913374 10.351658)",008_007,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwOCIsICJjb3N0X21ldGVycyI6IDcsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogN30=
"LINESTRING (123.913524 10.352257, 123.9135467 10.3522788)",002_052,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MiIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9135564 10.3523289, 123.9135463 10.352347)",006_053,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MyIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.913384 10.352152, 123.913491 10.352126)",010_020,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMCIsICJjb3N0X21ldGVycyI6IDEyLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEyfQ==
"LINESTRING (123.913376 10.352119, 123.913384 10.352152)",019_020,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxOSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMCIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9133226 10.3521658, 123.913384 10.352152)",055_020,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NSIsICJjb3N0X21ldGVycyI6IDcsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogN30=
"LINESTRING (123.913294 10.352139, 123.913301 10.352172)",021_022,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMSIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9132185 10.3521906, 123.913301 10.352172)",057_022,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NyIsICJjb3N0X21ldGVycyI6IDYsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNn0=
"LINESTRING (123.9132141 10.3521662, 123.9132185 10.3521906)",025_026,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNSIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9131419 10.3522089, 123.9132185 10.3521906)",026_028,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyOCIsICJjb3N0X21ldGVycyI6IDksICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogOX0=
"LINESTRING (123.9130733 10.3522253, 123.9131419 10.3522089)",030_028,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyOCIsICJjb3N0X21ldGVycyI6IDgsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogOH0=
"LINESTRING (123.9130357 10.3522343, 123.9130733 10.3522253)",032_030,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMiIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9129871 10.3522462, 123.9130357 10.3522343)",034_032,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMiIsICJjb3N0X21ldGVycyI6IDUsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNX0=
"LINESTRING (123.9129374 10.3522576, 123.9129871 10.3522462)",034_036,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNiIsICJjb3N0X21ldGVycyI6IDYsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNn0=
"LINESTRING (123.912852 10.352278, 123.9129374 10.3522576)",013_036,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNiIsICJjb3N0X21ldGVycyI6IDEwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEwfQ==
"LINESTRING (123.9131358 10.3521782, 123.9131419 10.3522089)",027_028,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyOCIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9130672 10.3521953, 123.9130733 10.3522253)",029_030,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyOSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMCIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9130293 10.3522046, 123.9130357 10.3522343)",032_031,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMiIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9129804 10.3522162, 123.9129871 10.3522462)",034_033,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzMyIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9129307 10.3522286, 123.9129374 10.3522576)",036_035,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNSIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9133807 10.3522673, 123.913518 10.352235)",024_011,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNCIsICJjb3N0X21ldGVycyI6IDE1LCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDE1fQ==
"LINESTRING (123.9133834 10.3522756, 123.9133807 10.3522673)",024_023,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNCIsICJjb3N0X21ldGVycyI6IDEsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMX0=
"LINESTRING (123.912878 10.352386, 123.9128841 10.3524113)",012_038,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOCIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.913037 10.352357, 123.913035 10.352349)",015_016,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNSIsICJjb3N0X21ldGVycyI6IDEsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMX0=
"LINESTRING (123.9128539 10.3524182, 123.9128841 10.3524113)",039_038,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOSIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9128841 10.3524113, 123.912888 10.352426)",037_038,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNyIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.912878 10.352386, 123.912852 10.352278)",012_013,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMyIsICJjb3N0X21ldGVycyI6IDEyLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEyfQ==
"LINESTRING (123.912852 10.352278, 123.9128208 10.3522851)",040_013,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMyIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9128418 10.3522307, 123.9127989 10.3520496)",050_051,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MSIsICJjb3N0X21ldGVycyI6IDIxLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDIxfQ==
"LINESTRING (123.9127864 10.3519997, 123.9127989 10.3520496)",051_014,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MSIsICJjb3N0X21ldGVycyI6IDYsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNn0=
"LINESTRING (123.9127864 10.3519997, 123.9127529 10.3520077)",014_041,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MSIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.913413 10.351813, 123.9131235 10.3518831)",009_045,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwOSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NSIsICJjb3N0X21ldGVycyI6IDMzLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDMzfQ==
"LINESTRING (123.9130478 10.3519016, 123.9131235 10.3518831)",047_045,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NSIsICJjb3N0X21ldGVycyI6IDksICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogOX0=
"LINESTRING (123.9128684 10.3519454, 123.9130478 10.3519016)",047_049,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0OSIsICJjb3N0X21ldGVycyI6IDIwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDIwfQ==
"LINESTRING (123.9130478 10.3519016, 123.9130514 10.3519184)",046_047,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NiIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.913301 10.352172, 123.9133226 10.3521658)",022_055,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NSIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
